address,price,area,rooms,neighbourhood,floors,elevator,lat,lon
Calle Jaume Marquès i Casanovas,990,90,3,Migdia Casernes,1,false,41.970227,2.8226
Calle de Joan Maragall,1124,107,4,Eixample,,,41.978387,2.820337
Barri Vell,950,110,3,,2,true,41.984325,2.824916
Calle de Santa Eugènia,1200,78,3,Eixample,2,false,41.978551,2.809786
Plaza d'Europa,1650,120,4,Sant Narcís,4,true,41.975657,2.81439
"Plaza Sant Pere, 6",1270,75,2,Barri Vell,1,false,41.989691,2.825243
Gran Via de Jaume I,800,75,2,Eixample,1,true,41.982941,2.819809
Abeuradors,800,50,,Barri Vell,2,true,41.983438,2.824275
Eixample,1800,142,4,,5,true,41.98007,2.818438
Calle de Joan Maragall,3300,131,3,Eixample,,,41.978387,2.820337
"Calle Nou, 6",1350,58,2,Barri Vell,1,true,41.983937,2.824952
Pont Major-Pedret,1900,75,3,,2,true,42.324925,3.089238
Carme-Vistalegre,2700,120,3,,1,true,41.975497,2.824881
Carme-Vistalegre,2700,120,3,,5,true,41.975497,2.824881
Carme-Vistalegre,2400,45,2,,1,true,41.975497,2.824881
"Calle de Cristòfol Grober, 34",550,55,1,Barri Vell,1,true,41.983506,2.820898
"Calle de Sant Joan Baptista la Salle, 6",1790,104,2,Eixample,6,true,41.977527,2.82045
"Calle del Riu Güell, 59",1000,89,2,Devesa,2,true,41.981401,2.813302
Barri Vell,1287,80,2,,1,true,41.984325,2.824916
"Montseny, 41",980,120,3,Santa Eugenia,4,true,41.975583,2.805483
Calle Bisbe Lorenzana,1735,73,1,Eixample,1,true,41.978459,2.820586
"Calle de Sant Agustí, 46",1100,75,2,Migdia Casernes,4,true,41.970637,2.820963
Eixample,1400,120,3,,,,41.98007,2.818438
Calle Barcelona,1250,129,3,Eixample,5,true,41.965464,2.812528
Migdia Casernes,1250,129,3,,5,true,41.923817,2.764141
Barri Vell,1500,70,2,,,,41.984325,2.824916
Calle de Sant Agustí,1100,79,2,Migdia Casernes,4,true,41.923817,2.764141
Barri Vell,1800,70,2,,,,41.984325,2.824916
Eixample,1500,100,3,,3,true,41.98007,2.818438
Barri Vell,1150,90,3,,5,true,41.984325,2.824916
Calle de Sant Joan Baptista la Salle,1150,65,3,Eixample,,,41.977527,2.82045
CL Cardenal Margarit,1050,59,3,Eixample,4,true,41.976658,2.821332
"Calle de la Cort Reial, 15",1200,75,3,Barri Vell,3,true,41.984754,2.824947
"Calle Bonastruc de Porta, 16",1130,110,3,Devesa,1,false,41.984809,2.819173
