census_tract,metres_cadastre,emissions_de_co2,qual_energia,qual_emissions,data_entrada,motiu,us_edifici,zona_climatica,energia_primaria,cost_energia
1707902021,75,13.57,D,D,,Lloguer,Terciari,D2,67.73,NaN
1707906001,95,38.69,E,E,2018-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,182.97,886.7
1707903001,67.3,32.99,E,D,2018-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,194.76,1090.54
1707903017,86,39.76,E,E,2020-01-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,188.49,9.68
1707902022,67,18.74,D,B,,Lloguer,Habitatge individual en bloc d'habitatges,D2,93.13,364.15
1707903003,54,62.81,G,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,370.81,1.09
1707905006,94,31.59,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,149.87,7.72
1707903001,37,49.81,E,E,2024-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,261.69,17.31
1707905004,71,69.94,G,F,,Compravenda,Habitatge unifamiliar,D2,344.79,25.16
1707902010,107,35.61,D,F,,Lloguer,Terciari,D2,186.75,12.31
1707903007,48.05,63.89,F,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,304.11,759.88
1707902013,46.8,61.6,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,345.61,1210.17
1707902005,75,35.87,E,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,170.2,8.77
1707903010,57,88.12,G,G,2022-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,418.84,21.68
1707906001,83,41.64,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,197.84,10.23
1707903007,68,65.73,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,361.76,26.17
1707902009,53,42.22,E,E,2022-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,201.19,10.5
1707906001,31,88.46,F,F,2025-09-01,Compravenda,Terciari,D2,522.19,42.38
1707902018,76,51.51,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,244.28,12.57
1707904001,64,24.42,E,D,2025-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,144.13,11.7
1707902014,56,44.9,E,E,2025-03-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,246.83,17.82
1707903004,117,43.72,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,207.79,1258.87
1707906002,75.17,13.81,C,B,2018-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,68.12,293.29
1707901006,56,68.7,G,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,405.7,NaN
1707905003,61,33.09,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,166.4,9.99
1707904001,32.8,36.88,E,D,2017-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,197.53,445.45
1707906001,101,55.91,E,E,,Compravenda,Habitatge unifamiliar,D2,264.7,13.55
1707903006,81.93,70.77,G,F,2018-09-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,334.92,1402.7
1707903003,2435.14,43.2,C,D,,Lloguer,Terciari,D2,221.5,33845.95
1707901001,115,41.5,D,G,,Lloguer,Terciari,D2,238.48,2127.03
1707902010,50.03,36.8,E,D,2016-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,174.1,446.04
1707902009,80,45.1,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,214.1,882.3
1707903012,90,25.88,D,C,2023-08-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,124.64,6.7
1707902012,81.91,32.64,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,158.48,799.62
1707903014,130,36,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,170.29,8.69
1707904001,58,31.22,E,D,2025-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,147.44,7.49
1707902003,759.35,77.8,E,G,,Altres (cap de les anteriores opcions),Terciari,D2,427.5,23401.78
1707903017,81,39.94,E,E,2024-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,188.79,9.62
1707903021,70,37.7,E,E,2017-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,179.21,649.51
1707901001,58,56.84,F,D,,Compravenda,Terciari,D2,335.52,27.23
1707903004,101,40.53,E,E,2023-11-01,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,192.23,9.89
1707903003,78,55.18,G,F,,Lloguer,Habitatge individual en bloc d'habitatges,D2,274.86,16.13
1707902018,56.8,52.45,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,255.32,762.47
1707902012,55,62.08,G,E,2023-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,366.5,29.74
1707903019,54.03,77.28,G,G,,Lloguer,Habitatge individual en bloc d'habitatges,D2,366.29,1016.21
1707902015,73.96,22.7,D,D,2016-01-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,108.2,NaN
1707901001,79,64.89,F,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,308.2,15.93
1707902012,247,9.15,B,C,,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,43.23,2.2
1707902001,65,57.64,E,E,2025-03-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,272.26,13.84
1707902022,108.6,39.77,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,190.41,12.71
1707903007,62,50.74,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,240.77,12.4
1707903012,72.66,66.29,F,E,2018-09-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,313.9,1168.26
1707905003,62,56.01,E,E,2021-10-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,266.73,15.26
1707903014,67,41.3,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,217.09,14.37
1707903007,75,44.32,G,,,Lloguer,Habitatge individual en bloc d'habitatges,D2,213.88,949.68
1707902004,90.33,52.76,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,311.47,NaN
1707903016,57,36.12,E,E,,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,171.1,8.77
1707903001,104,15.22,D,C,,Compravenda,Habitatge individual en bloc d'habitatges,D2,72.72,3.82
1707903010,84,52.37,E,E,2019-09-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,248.89,NaN
1707906001,35,37.26,C,F,2019-04-01,Lloguer,Terciari,D2,211.1,16.05
1707906001,85,47.86,F,E,2025-03-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,226.32,11.54
1707901001,1095,48.11,D,D,2022-04-01,Certificació voluntària,Terciari,D2,283.99,23.05
1707902016,11511,17.6,B,G,,Altres (cap de les anteriores opcions),Terciari,D2,92.38,10.31
1707905001,112,28.41,C,D,,Sol·licitud d'ajuts,Habitatge unifamiliar,D2,124.69,7.7
1707902012,158,44.39,E,C,,Compravenda,Terciari,D2,253.69,19.58
1707903018,55,39.29,E,E,2024-06-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,216.15,15.62
1707902006,72,67.21,G,F,2019-02-01,Lloguer,Terciari,D2,396.76,32.2
1707901004,37.69,62.73,G,E,2018-07-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,350.14,812.04
1707901004,90.35,33.23,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,157.53,731.54
1707906002,115,38.56,E,E,2020-10-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,182.72,9.38
1707902010,74,58.44,E,E,2020-11-01,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,276,14.02
1707902006,220,36.01,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,170.67,8.76
1707903019,63,45.42,E,E,2025-12-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,214.98,11
1707906002,43,49.06,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,233.34,1.69
1707903002,97,50.26,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,237.44,1170.27
1707902006,75,71.34,G,F,,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,338.99,17.54
1707903012,87,46.73,E,E,2022-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,221.23,11.32
1707903008,55.25,45.5,E,E,2016-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,215.4,594.73
1707902019,81.7,51.7,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,245.8,945.33
1707903017,80,19.8,D,D,2018-01-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,95.96,129.78
1707902003,2435,57.95,F,E,,Sol·licitud d'ajuts,Terciari,D2,276.82,14.54
1707903015,104.9,17.03,F,,,Lloguer,Terciari,D2,100.36,0.4
1707903021,56,47.29,E,E,,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,223.69,11.42
1707901003,67,42.01,E,E,2024-01-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,199.34,10.27
1707903003,183,56.78,E,E,2025-12-01,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,271.31,14.26
1707902017,147.05,31.2,D,C,,Lloguer,Habitatge unifamiliar,D2,150.1,1181.51
1707903002,88,77.7,G,G,,Compravenda,Habitatge individual en bloc d'habitatges,D2,382.4,NaN
1707902005,190,27.45,D,F,,Lloguer,Terciari,D2,162.07,2498.87
1707906002,86,40.45,F,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,194.68,1032.82
1707906004,50,51.49,E,E,2025-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,258.5,15.46
1707902016,137,45.34,E,E,,Compravenda,Habitatge unifamiliar,D2,222.06,12.49
1707902002,36,45.04,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,244.05,17.16
1707903015,67,57.04,E,E,,Compravenda,Habitatge unifamiliar,D2,270.62,13.94
1707905003,58,28.59,E,D,2024-04-01,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,135.7,7
1707903006,68,42.55,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,201.38,10.3
1707902011,31,39.72,E,D,2023-11-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,234.48,19.03
1707903012,71.93,62.7,F,F,,Compravenda,Habitatge individual en bloc d'habitatges,D2,296.7,1068.68
1707906001,124.42,49.09,F,G,2018-07-01,Lloguer,Terciari,D2,283,2754.77
1707902015,169,26.52,C,C,,Compravenda,Habitatge unifamiliar,D2,126.97,6.78
1707903019,96,54.73,E,E,2025-08-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,258.85,13.21
1707902011,31,37.57,E,D,2023-11-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,221.81,18
1707901001,70,64.78,E,E,2019-10-01,Compravenda,Terciari,D2,332.21,NaN
1707903012,45,58.39,F,E,2022-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,302.59,19.45
1707902016,149,76.05,F,F,,Altres (cap de les anteriores opcions),Habitatge unifamiliar,D2,361.05,18.63
1707903001,26,77.13,G,A,2019-11-01,Compravenda,Terciari,D2,454.45,30.8
1707902001,135,51.68,E,E,2025-08-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,246.12,12.82
1707905002,59,55.13,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,286.56,18.54
1707902019,64.12,35.1,E,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,166,541.93
1707903009,67,51.9,E,E,2016-11-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,246.4,276.45
