lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial,ingresos_otros_prest,ingresos_otros,ingresos_pensiones,ingresos_desempleo,ingresos_salario,p80_p20.1,gini.1,renda_med.1,renda_mediana.1,renta_bruta_hogar,renta_bruta_persona,renta_neta_hogar,renta_neta_persona,edad_media,poblacion,pct_single_household.1,pct_65_plus.1,pct_espanola,pct_under18.1,tamany_mitja_hogar,has_education_within_500m,education_count_within_500m,has_food_within_500m,food_count_within_500m,has_health_within_500m,health_count_within_500m,has_mobility_within_500m,mobility_count_within_500m,has_public_service_within_500m,public_service_count_within_500m
2.826062,750,2026,2.0,False,41.984288,3.0,54,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,3,1,11,1,7,1,19,1,16
2.825042,1250,2026,3.0,False,41.984028,0.0,89,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,4,1,11,1,9,1,25,1,15
2.821286,680,2026,1.0,True,41.981407,4.0,35,1707902001,Centre,158.0,39.46,F,1,1,1,1,1,35605.0,30450.0,35.4,3.1,25.7,18.6,37.8,Mercadal,2.5,24.7,20.1,0.9,51.8,3.1,35.4,35605.0,30450.0,75923.0,30977.0,57966.0,23651.0,44.6,803.0,37.8,25.7,88.9,18.6,2.4,1,5,1,16,1,25,1,23,1,8
2.825205,1300,2026,2.0,True,41.986245,3.0,96,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,3,1,14,1,8,1,24,1,14
2.826046,1124,2026,1.0,False,41.986864,2.0,71,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,3,1,11,1,6,1,26,1,15
2.820586,2304,2026,2.0,True,41.978459,1.0,87,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord,2.5,24.2,19.3,0.7,53.3,3.1,33.9,32741.0,26950.0,68901.0,29601.0,52012.0,22345.0,44.0,1676.0,36.4,23.6,85.1,16.6,2.3,1,9,1,28,1,22,1,22,1,4
2.821747,1200,2026,2.0,False,41.975942,0.0,90,1707902006,Eixample,121.0,37.44,E,1,1,1,1,1,27935.0,24850.0,31.6,2.9,19.9,15.2,34.6,Eixample Nord,2.4,19.5,21.4,1.1,55.7,2.9,31.6,27935.0,24850.0,60510.0,25054.0,46079.0,19079.0,42.5,2154.0,34.6,19.9,80.8,15.2,2.4,1,8,1,24,1,15,1,20,1,4
2.826648,2500,2026,4.0,False,41.97363,0.0,249,1707902009,Sud,89.0,40.19,E,1,1,1,1,1,26669.0,23450.0,29.1,2.3,19.3,13.5,30.4,Montilivi,3.2,10.5,20.5,1.7,64.2,2.3,29.1,26669.0,23450.0,57144.0,22569.0,45898.0,18127.0,43.8,1365.0,30.4,19.3,85.0,13.5,2.5,1,3,1,4,1,7,1,14,1,4
2.818438,2300,2026,2.0,True,41.98007,2.0,90,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
2.818438,2620,2026,3.0,True,41.98007,2.0,100,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
