lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial
2.821367,1650,2026,2.0,True,41.982422,1.0,80,1707902001,Centre,158.0,39.46,F,1,1,1,1,1,35605.0,30450.0,35.4,3.1,25.7,18.6,37.8,Mercadal
2.812528,3000,2026,4.0,False,41.965464,1.0,200,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud
2.818438,1500,2026,2.0,False,41.98007,0.0,156,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.824916,2100,2026,2.0,True,41.984325,2.0,107,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.824881,900,2026,2.0,True,41.975497,6.0,69,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.824916,2100,2026,2.0,True,41.984325,1.0,107,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.812528,1800,2026,4.0,True,41.965464,1.0,150,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud
2.81615,1700,2026,2.0,False,41.968709,0.0,71,1707902011,Eixample,90.0,25.63,D,1,1,1,1,1,23134.0,22050.0,28.2,2.6,12.6,18.2,30.4,Eixample Sud
2.824916,1500,2026,1.0,True,41.984325,4.0,52,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.820586,3000,2026,2.0,True,41.978459,1.0,87,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.824916,1800,2026,2.0,False,41.984325,1.0,71,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.818438,1800,2026,3.0,True,41.98007,1.0,101,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
