,PCA1,PCA2
renda_med,0.139456351914602,0.5992751743416321
renda_mediana,0.04501957682040414,0.629119142861991
gini,0.5095698228472062,-0.04537910836233164
p80_p20,0.5147909287587883,-0.13976249602902227
pct_65_plus,0.220822776458721,0.3453128629471921
pct_under18,-0.44440765513333996,-0.10395322848243688
pct_single_household,0.45562396379104253,-0.3056767961453216
